Store Name,Full Address,ZIP Code,Town
Aachtal,"Schrofenstrasse 19, 8580 Amriswil",8580,Amriswil
Aadorf,"Bahnhofstrasse 2, 8355 Aadorf",8355,Aadorf
Aarau,"Bahnhofplatz 4, 5000 Aarau",5000,Aarau
Aarau - Igelweid,"Igelweid 18, 5000 Aarau",5000,Aarau
Aarau Bahnhof,"Bahnhofplatz 3h, 5000 Aarau",5000,Aarau
Aathal Outlet,"Zürichstrasse 15, 8607 Aathal-Seegräben",8607,Aathal-Seegräben
Abtwil - Säntispark,"Wiesenbachstrasse 7, 9030 Abtwil",9030,Abtwil
Adligenswil LU,"Obgardirain 1, 6043 Adligenswil",6043,Adligenswil
Adliswil,"Albisstrasse 10, 8134 Adliswil",8134,Adliswil
Aesch,"Hauptstrasse 95, 4147 Aesch",4147,Aesch
Affoltern a. A.,"Oberdorfstrasse 4, 8910 Affoltern am Albis",8910,Affoltern am Albis
Affoltern am Albis,"Obfelderstrasse 1, 8910 Affoltern am Albis",8910,Affoltern am Albis
Agno,"Via Lugano 21, 6982 Agno",6982,Agno
Agy,"route d'Agy 2, 1763 Granges-Paccot",1763,Granges-Paccot
Aigle - Chablais Centre,"Ch. Sous-le-Grand Pré 4, 1860 Aigle",1860,Aigle
Aigle gare,"Place de la gare 5, 1860 Aigle",1860,Aigle
Allschwil - Binningerstr.,"Binningerstrasse 91, 4123 Allschwil",4123,Allschwil
Allschwil - Paradies,"Spitzwaldstrasse 215, 4123 Allschwil",4123,Allschwil
Allschwil - Stockbrunnenrain,"Stockbrunnenrain 2, 4123 Allschwil",4123,Allschwil
Allschwil - Ziegelei,"Baslerstrasse 191, 4123 Allschwil",4123,Allschwil
Allschwil-Lindenplatz,"Lindenplatz 1, 4123 Allschwil",4123,Allschwil
Alnatura Bio Super Markt Baden,"Bahnhofstrasse 31, 5400 Baden",5400,Baden
Alnatura Bio Super Markt Basel Gerbergasse,"Gerbergasse 25, 4001 Basel",4001,Basel
Alnatura Bio Super Markt Basel Kirschgarten,"Henric Petri-Strasse 20, 4051 Basel",4051,Basel
Alnatura Bio Super Markt Bern Aarbergergasse,"Aarbergergasse 30, 3011 Bern",3011,Bern
